job arrival_time
0 2019/10/23:13:17:48
1 2019/10/23:13:22:55
2 2019/10/23:13:25:48
3 2019/10/23:13:28:40
4 2019/10/23:13:31:31
5 2019/10/23:13:34:25
6 2019/10/23:13:37:17
7 2019/10/23:13:40:13
8 2019/10/23:13:43:07
9 2019/10/23:13:46:02
10 2019/10/23:13:48:59
11 2019/10/23:13:51:55
12 2019/10/23:13:54:45
13 2019/10/23:13:57:34
14 2019/10/23:14:01:14
15 2019/10/23:14:04:19
16 2019/10/23:14:07:16
17 2019/10/23:14:10:14
18 2019/10/23:14:13:03
