job arrival_time
0 2019/10/23:12:14:28
1 2019/10/23:12:19:35
2 2019/10/23:12:22:28
3 2019/10/23:12:25:21
4 2019/10/23:12:28:10
5 2019/10/23:12:31:06
6 2019/10/23:12:33:58
7 2019/10/23:12:36:52
8 2019/10/23:12:39:41
9 2019/10/23:12:42:33
10 2019/10/23:12:45:25
11 2019/10/23:12:48:18
12 2019/10/23:12:51:11
13 2019/10/23:12:54:05
14 2019/10/23:12:57:54
15 2019/10/23:13:00:59
16 2019/10/23:13:03:55
17 2019/10/23:13:06:54
18 2019/10/23:13:09:46
