job arrival_time
0 2019/10/17:16:00:30
1 2019/10/17:16:07:22
2 2019/10/17:16:14:19
3 2019/10/17:16:21:15
4 2019/10/17:16:28:11
5 2019/10/17:16:35:05
6 2019/10/17:16:42:00
7 2019/10/17:16:48:54
8 2019/10/17:16:55:38
