job arrival_time
0 2019/10/17:14:57:10
1 2019/10/17:15:04:02
2 2019/10/17:15:10:56
3 2019/10/17:15:17:51
4 2019/10/17:15:24:45
5 2019/10/17:15:31:46
6 2019/10/17:15:38:44
7 2019/10/17:15:45:41
8 2019/10/17:15:52:36
