job arrival_time
0 2019/10/17:17:03:50
1 2019/10/17:17:10:33
2 2019/10/17:17:17:16
3 2019/10/17:17:24:00
4 2019/10/17:17:30:44
5 2019/10/17:17:37:25
6 2019/10/17:17:44:04
7 2019/10/17:17:50:43
8 2019/10/17:17:57:24
9 2019/10/17:18:04:06
