job service_time end_time
0 412.388 1571328442.723181
1 416.78 1571328859.503261
2 415.754 1571329275.257770
3 415.788 1571329691.046303
4 414.698 1571330105.743944
5 414.874 1571330520.617967
6 413.805 1571330934.423094
7 404.546 1571331338.969114
