job service_time end_time
0 411.834 1571324642.149813
1 414.206 1571325056.355975
2 414.858 1571325471.214545
3 414.619 1571325885.833795
4 421.079 1571326306.912971
5 417.981 1571326724.893661
6 416.751 1571327141.644428
7 415.294 1571327556.938026
