job arrival_time
0 2019/10/17:12:09:30
1 2019/10/17:12:14:37
2 2019/10/17:12:16:38
3 2019/10/17:12:18:39
4 2019/10/17:12:20:40
5 2019/10/17:12:22:41
6 2019/10/17:12:24:43
7 2019/10/17:12:26:44
8 2019/10/17:12:28:45
9 2019/10/17:12:30:47
10 2019/10/17:12:32:47
11 2019/10/17:12:35:18
12 2019/10/17:12:43:46
13 2019/10/17:12:47:47
14 2019/10/17:12:52:56
15 2019/10/17:12:56:01
16 2019/10/17:12:58:02
17 2019/10/17:13:01:56
18 2019/10/17:13:04:45
