job arrival_time
0 2019/10/17:13:12:50
1 2019/10/17:13:17:57
2 2019/10/17:13:19:58
3 2019/10/17:13:21:58
4 2019/10/17:13:23:59
5 2019/10/17:13:26:00
6 2019/10/17:13:28:01
7 2019/10/17:13:30:02
8 2019/10/17:13:32:02
9 2019/10/17:13:34:04
10 2019/10/17:13:36:05
11 2019/10/17:13:38:38
12 2019/10/17:13:47:06
13 2019/10/17:13:51:07
14 2019/10/17:13:56:16
15 2019/10/17:13:59:21
16 2019/10/17:14:01:29
17 2019/10/17:14:05:16
18 2019/10/17:14:08:05
