job arrival_time
0 2019/10/17:14:16:10
1 2019/10/17:14:21:17
2 2019/10/17:14:23:25
3 2019/10/17:14:25:32
4 2019/10/17:14:27:40
5 2019/10/17:14:29:47
6 2019/10/17:14:31:56
7 2019/10/17:14:34:05
8 2019/10/17:14:36:13
9 2019/10/17:14:38:20
10 2019/10/17:14:40:29
11 2019/10/17:14:42:39
12 2019/10/17:14:50:26
13 2019/10/17:14:54:27
14 2019/10/17:14:59:36
15 2019/10/17:15:02:41
16 2019/10/17:15:04:42
17 2019/10/17:15:08:36
18 2019/10/17:15:11:25
