job service_time end_time
0 139.008 1571314309.554003
1 120.696 1571314598.242388
2 121.408 1571314719.650142
3 121.217 1571314840.867304
4 121.023 1571314961.890279
5 121.926 1571315083.816676
6 120.992 1571315204.809098
7 120.975 1571315325.783760
8 121.279 1571315447.062836
9 120.67 1571315567.733130
10 119.856 1571315687.589364
11 119.684 1571315838.232548
12 120.241 1571316346.789422
13 120.013 1571316587.561884
14 121.24 1571316897.789830
15 120.961 1571317082.510494
16 119.999 1571317202.509199
17 119.761 1571317436.310917
18 120.927 1571317606.477409
