job service_time end_time
0 121.296 1571318091.693860
1 120.895 1571318398.292908
2 119.707 1571318518.000274
3 121.812 1571318639.811920
4 120.987 1571318760.799166
5 120.82 1571318881.619465
6 120.583 1571319002.202887
7 120.736 1571319122.939216
8 121.709 1571319244.648010
9 120.457 1571319365.105172
10 120.028 1571319485.132864
11 121.042 1571319639.441622
12 128.16 1571320154.559747
13 125.716 1571320393.116448
14 128.213 1571320704.613967
15 128.527 1571320889.928384
16 127.677 1571321017.605851
17 127.744 1571321244.145085
18 127.505 1571321412.907049
