job service_time end_time
0 175.055 1571836843.634535
1 173.056 1571837148.635932
2 171.944 1571837320.580455
3 170.831 1571837491.411456
4 174.425 1571837665.836740
5 171.342 1571837837.178514
6 176.81 1571838013.988290
7 173.886 1571838187.874414
8 174.574 1571838362.448063
9 176.594 1571838539.041949
10 176.485 1571838715.526662
11 170.14 1571838885.666343
12 169.172 1571839054.838757
13 171.147 1571839225.986379
14 178.337 1571839452.919539
15 176.698 1571839636.281312
16 166.589 1571839802.870530
17 166.605 1571839981.188839
18 166.77 1571840150.353646
