job service_time end_time
0 169.702 1571840638.289946
1 167.396 1571840942.983955
2 168.426 1571841111.410442
3 169.329 1571841280.739929
4 169.334 1571841450.074443
5 170.691 1571841620.765950
6 168.3 1571841789.066437
7 166.652 1571841955.718045
8 167.909 1571842123.627538
9 167.968 1571842291.595158
10 168.873 1571842460.468155
11 171.291 1571842631.759227
12 170.518 1571842802.277227
13 168.907 1571842971.183851
14 169.521 1571843244.114895
15 167.242 1571843426.835575
16 168.462 1571843595.297846
17 169.926 1571843784.520806
18 168.294 1571843952.814938
