job arrival_time
0 2019/10/17:13:53:50
1 2019/10/17:13:59:35
2 2019/10/17:14:05:20
3 2019/10/17:14:11:08
4 2019/10/17:14:16:54
5 2019/10/17:14:22:42
6 2019/10/17:14:28:33
7 2019/10/17:14:34:19
8 2019/10/17:14:40:09
9 2019/10/17:14:46:00
10 2019/10/17:14:51:47
