job arrival_time
0 2019/10/17:11:47:10
1 2019/10/17:11:53:07
2 2019/10/17:11:58:49
3 2019/10/17:12:04:36
4 2019/10/17:12:10:24
5 2019/10/17:12:16:10
6 2019/10/17:12:21:55
7 2019/10/17:12:27:39
8 2019/10/17:12:33:23
9 2019/10/17:12:39:10
10 2019/10/17:12:44:54
