job arrival_time
0 2019/10/17:12:50:30
1 2019/10/17:12:56:15
2 2019/10/17:13:02:01
3 2019/10/17:13:07:50
4 2019/10/17:13:13:37
5 2019/10/17:13:19:21
6 2019/10/17:13:25:05
7 2019/10/17:13:30:51
8 2019/10/17:13:36:37
9 2019/10/17:13:42:20
10 2019/10/17:13:48:04
