job arrival_time
0 2019/10/20:11:59:30
1 2019/10/20:12:05:54
2 2019/10/20:12:12:16
3 2019/10/20:12:18:34
4 2019/10/20:12:25:02
5 2019/10/20:12:31:28
6 2019/10/20:12:37:55
7 2019/10/20:12:44:22
8 2019/10/20:12:50:44
9 2019/10/20:12:57:04
