job arrival_time
0 2019/10/20:10:56:10
1 2019/10/20:11:02:39
2 2019/10/20:11:08:55
3 2019/10/20:11:15:18
4 2019/10/20:11:21:36
5 2019/10/20:11:27:57
6 2019/10/20:11:34:16
7 2019/10/20:11:40:43
8 2019/10/20:11:47:07
9 2019/10/20:11:53:29
