job arrival_time
0 2019/10/20:13:02:50
1 2019/10/20:13:09:16
2 2019/10/20:13:15:38
3 2019/10/20:13:21:58
4 2019/10/20:13:28:19
5 2019/10/20:13:34:43
6 2019/10/20:13:41:12
7 2019/10/20:13:47:38
8 2019/10/20:13:53:58
9 2019/10/20:14:00:23
