job service_time end_time
0 345.251 1571316975.506437
1 346.358 1571317321.864136
2 348.34 1571317670.204401
3 347.31 1571318017.514625
4 343.649 1571318361.163773
5 343.88 1571318705.043779
6 345.986 1571319051.030019
7 346.272 1571319397.302069
8 343.193 1571319740.494858
9 343.772 1571320084.266689
