job service_time end_time
0 344.857 1571320775.144928
1 345.79 1571321120.934525
2 347.096 1571321468.030288
3 346.478 1571321814.508116
4 348.115 1571322162.623349
5 350.5 1571322513.123802
6 345.997 1571322859.121307
7 350.027 1571323209.148344
8 350.978 1571323560.126109
9 347.408 1571323907.533748
