job service_time end_time
0 384.01 1571573154.485294
1 382.344 1571573536.830499
2 377.888 1571573914.718654
3 387.547 1571574302.266093
4 386.302 1571574688.568009
5 386.626 1571575075.194249
6 387.458 1571575462.652236
7 381.87 1571575844.521966
8 380.451 1571576224.972932
