job service_time end_time
0 386.136 1571576956.636311
1 382.185 1571577338.821836
2 379.302 1571577718.123618
3 381.073 1571578099.197156
4 384.798 1571578483.995248
5 388.976 1571578872.971126
6 385.42 1571579258.391503
7 380.213 1571579638.604912
8 385.158 1571580023.763021
