job service_time end_time
0 388.889 1571569359.400065
1 376.175 1571569735.574740
2 382.496 1571570118.071014
3 378.097 1571570496.168544
4 381.551 1571570877.719710
5 379.114 1571571256.834169
6 386.483 1571571643.317483
7 384.224 1571572027.541411
8 381.494 1571572409.035666
